<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.13	13:30:00	178275	178305	178015	178205	41134	452138	0
2026.07.13	13:45:00	178205	178285	177815	177860	44492	456037	0
2026.07.13	14:00:00	177860	178015	177755	177970	33933	331912	0
2026.07.13	14:15:00	177965	178065	177675	177695	39729	386150	0
2026.07.13	14:30:00	177690	177775	177555	177660	35601	360093	0
2026.07.13	14:45:00	177655	177760	177460	177540	37480	395947	0
2026.07.13	15:00:00	177540	177675	177410	177545	37647	386989	0
2026.07.13	15:15:00	177540	177590	177450	177525	23517	255903	0
2026.07.13	15:30:00	177525	177770	177490	177660	28874	293851	0
2026.07.13	15:45:00	177665	177795	177650	177765	22691	261891	0
2026.07.13	16:00:00	177765	177900	177675	177785	30019	298929	0
2026.07.13	16:15:00	177780	177825	177500	177515	30668	336519	0
2026.07.13	16:30:00	177510	177570	177385	177535	28877	310266	0
2026.07.13	16:45:00	177530	177630	177400	177455	25989	278604	0
2026.07.13	17:00:00	177450	177690	177320	177330	37537	362395	0
2026.07.13	17:15:00	177330	177375	177210	177300	23945	243441	0
2026.07.13	17:30:00	177300	177310	177075	177105	17261	157571	0
2026.07.13	17:45:00	177105	177150	177055	177125	10954	93704	0
2026.07.13	18:00:00	177120	177205	176990	177150	14563	112264	0
2026.07.13	18:15:00	177150	177355	177140	177140	6943	62658	0
2026.07.13	18:30:00	177400	177400	177400	177400	102	24483	0
2026.07.14	09:00:00	178140	178335	177285	177620	127372	1021297	0
2026.07.14	09:15:00	177620	177910	177365	177545	90910	741249	0
2026.07.14	09:30:00	177535	179220	177490	178430	148430	1224105	0
2026.07.14	09:45:00	178425	178500	178175	178235	70914	609153	0
2026.07.14	10:00:00	178235	178670	178010	178050	94129	852584	0
2026.07.14	10:15:00	178045	178350	177755	177955	107930	997890	0
2026.07.14	10:30:00	177955	178555	177945	178375	108722	1000306	0
2026.07.14	10:45:00	178375	178720	178195	178635	76289	699428	0
2026.07.14	11:00:00	178640	178970	178375	178470	88276	756287	0
2026.07.14	11:15:00	178470	178625	178145	178230	75119	680631	0
2026.07.14	11:30:00	178235	178795	178050	178085	67836	604419	0
2026.07.14	11:45:00	178090	178175	177905	178080	49091	425256	0
2026.07.14	12:00:00	178085	178420	177855	178415	62789	585037	0
2026.07.14	12:15:00	178410	178490	178245	178290	39160	353158	0
2026.07.14	12:30:00	178295	178390	177925	178080	37354	382927	0
2026.07.14	12:45:00	178080	178240	177865	177910	34061	319077	0
2026.07.14	13:00:00	177910	177995	177560	177915	49583	503523	0
2026.07.14	13:15:00	177915	178025	177845	177955	22884	213045	0
2026.07.14	13:30:00	177960	178155	177945	178090	24110	233181	0
2026.07.14	13:45:00	178090	178180	177875	178025	30651	305502	0
2026.07.14	14:00:00	178025	178060	177785	177880	26230	260214	0
